Frame,LandmarkID,X,Y
0,0,0.18186557292938232,0.3251720070838928
0,1,0.18066146969795227,0.3181364834308624
0,2,0.1811726689338684,0.3178001642227173
0,3,0.18141724169254303,0.31773269176483154
0,4,0.17801156640052795,0.3196098208427429
0,5,0.17680910229682922,0.31993162631988525
0,6,0.17926716804504395,0.313864529132843
0,7,0.18194007873535156,0.31966865062713623
0,8,0.18223774433135986,0.31867778301239014
0,9,0.1845722198486328,0.3295639157295227
0,10,0.18183501064777374,0.3320285379886627
0,11,0.18949569761753082,0.36702439188957214
0,12,0.20764580368995667,0.33666500449180603
0,13,0.20372441411018372,0.4318651556968689
0,14,0.2360832244157791,0.38104739785194397
0,15,0.2077619582414627,0.44044265151023865
0,16,0.24599206447601318,0.39418062567710876
0,17,0.20705118775367737,0.4459667205810547
0,18,0.25080356001853943,0.39563050866127014
0,19,0.20899228751659393,0.4371902346611023
0,20,0.24676987528800964,0.3964475989341736
0,21,0.20959420502185822,0.43451035022735596
0,22,0.24426725506782532,0.39629092812538147
0,23,0.22165803611278534,0.4442429840564728
0,24,0.23541243374347687,0.42708736658096313
0,25,0.21804097294807434,0.5107543468475342
0,26,0.26334670186042786,0.5133596658706665
0,27,0.2208692729473114,0.5989028811454773
0,28,0.2970857620239258,0.6069435477256775
0,29,0.2248527556657791,0.6159032583236694
0,30,0.29975470900535583,0.6235727071762085
0,31,0.2171095311641693,0.6150720119476318
0,32,0.31295478343963623,0.6143274307250977
1,0,0.20398111641407013,0.3363134264945984
1,1,0.20204122364521027,0.33045390248298645
1,2,0.20118963718414307,0.3309318721294403
1,3,0.20037329196929932,0.3314785957336426
1,4,0.20497851073741913,0.3289536237716675
1,5,0.20605938136577606,0.3284483253955841
1,6,0.20719489455223083,0.3274646997451782
1,7,0.20095784962177277,0.33636683225631714
1,8,0.2108869105577469,0.33104732632637024
1,9,0.20452049374580383,0.34364554286003113
1,10,0.20706024765968323,0.3424321413040161
1,11,0.19652900099754333,0.37606391310691833
1,12,0.23447641730308533,0.355273574590683
1,13,0.1982344686985016,0.430894136428833
1,14,0.25911834836006165,0.3944399058818817
1,15,0.19670149683952332,0.4157165586948395
1,16,0.29146608710289,0.4224916100502014
1,17,0.1929384171962738,0.41188594698905945
1,18,0.298281192779541,0.4242323040962219
1,19,0.197649285197258,0.40394672751426697
1,20,0.2986602783203125,0.42743656039237976
1,21,0.19754347205162048,0.4076545834541321
1,22,0.29550784826278687,0.4252943992614746
1,23,0.22168011963367462,0.45171961188316345
1,24,0.2504117786884308,0.4394957721233368
1,25,0.20830419659614563,0.5111700892448425
1,26,0.27512431144714355,0.5187453627586365
1,27,0.18326491117477417,0.5865786075592041
1,28,0.299922913312912,0.6088062524795532
1,29,0.18352927267551422,0.6026433110237122
1,30,0.3001900017261505,0.6238241195678711
1,31,0.17085598409175873,0.6028789281845093
1,32,0.31303471326828003,0.6223646998405457
2,0,0.23361508548259735,0.3494976758956909
2,1,0.23111824691295624,0.3440019190311432
2,2,0.22989650070667267,0.3441486060619354
2,3,0.2287309616804123,0.3443557322025299
2,4,0.23430433869361877,0.3435969948768616
2,5,0.2351319044828415,0.3435438573360443
2,6,0.23591312766075134,0.3438429832458496
2,7,0.22568710148334503,0.3484957218170166
2,8,0.23591351509094238,0.347640722990036
2,9,0.23153945803642273,0.35619303584098816
2,10,0.23444879055023193,0.35591235756874084
2,11,0.21377798914909363,0.37880057096481323
2,12,0.24935925006866455,0.37004879117012024
2,13,0.19880685210227966,0.42596083879470825
2,14,0.27396994829177856,0.4103202819824219
2,15,0.19521299004554749,0.4229165315628052
2,16,0.3030851483345032,0.430297315120697
2,17,0.1917761117219925,0.4170643985271454
2,18,0.31554704904556274,0.4307354688644409
2,19,0.19264696538448334,0.42081573605537415
2,20,0.31462639570236206,0.4300310015678406
2,21,0.19441333413124084,0.4227965176105499
2,22,0.3088137209415436,0.4298660159111023
2,23,0.2272472381591797,0.4456351697444916
2,24,0.25430741906166077,0.43731147050857544
2,25,0.20579548180103302,0.5109343528747559
2,26,0.2752428948879242,0.5207344889640808
2,27,0.1805027425289154,0.583097517490387
2,28,0.3002149164676666,0.6087639927864075
2,29,0.1810941845178604,0.5991880893707275
2,30,0.30025655031204224,0.6237396001815796
2,31,0.16662482917308807,0.600085437297821
2,32,0.3125338554382324,0.6236460208892822
3,0,0.25629985332489014,0.34460556507110596
3,1,0.2575686573982239,0.33957645297050476
3,2,0.256158709526062,0.33936578035354614
3,3,0.2547677159309387,0.33927392959594727
3,4,0.2584766447544098,0.3381820321083069
3,5,0.2612648904323578,0.3411644995212555
3,6,0.26187700033187866,0.3417035937309265
3,7,0.24854104220867157,0.3439098298549652
3,8,0.2594793438911438,0.3482910692691803
3,9,0.2560567557811737,0.35030317306518555
3,10,0.2588992714881897,0.3512367010116577
3,11,0.22245900332927704,0.3800221383571625
3,12,0.2629726529121399,0.3770407438278198
3,13,0.20298178493976593,0.41825518012046814
3,14,0.28218144178390503,0.4184444844722748
3,15,0.20164601504802704,0.4170481264591217
3,16,0.3098687529563904,0.4323064982891083
3,17,0.19818459451198578,0.416858971118927
3,18,0.32049018144607544,0.4345574676990509
3,19,0.2022612988948822,0.41421377658843994
3,20,0.3208897113800049,0.42875128984451294
3,21,0.20538023114204407,0.4149141013622284
3,22,0.3175697326660156,0.42790040373802185
3,23,0.23713433742523193,0.46612274646759033
3,24,0.2608128786087036,0.4591801166534424
3,25,0.22180204093456268,0.5242367386817932
3,26,0.28210633993148804,0.5223215818405151
3,27,0.21252255141735077,0.6102001667022705
3,28,0.3018440008163452,0.6092494130134583
3,29,0.2107905149459839,0.6267995834350586
3,30,0.3002474904060364,0.6238225698471069
3,31,0.21268217265605927,0.6200305223464966
3,32,0.3126290738582611,0.6261193752288818
4,0,0.26116350293159485,0.3422379493713379
4,1,0.2593945562839508,0.33658844232559204
4,2,0.2577440142631531,0.33639833331108093
4,3,0.25594794750213623,0.33634552359580994
4,4,0.2637634873390198,0.33608755469322205
4,5,0.26508551836013794,0.33794349431991577
4,6,0.2661949694156647,0.33746325969696045
4,7,0.25285881757736206,0.34031155705451965
4,8,0.26626697182655334,0.34268319606781006
4,9,0.25777265429496765,0.34815165400505066
4,10,0.26252132654190063,0.3490830063819885
4,11,0.23054850101470947,0.37883859872817993
4,12,0.2733219861984253,0.3818366229534149
4,13,0.20840153098106384,0.4191506803035736
4,14,0.28913870453834534,0.4244219958782196
4,15,0.21181413531303406,0.43729841709136963
4,16,0.3190334141254425,0.4325067400932312
4,17,0.21129949390888214,0.4448769986629486
4,18,0.3320901393890381,0.4329549968242645
4,19,0.21592219173908234,0.4480155408382416
4,20,0.33029547333717346,0.42659738659858704
4,21,0.21711623668670654,0.44655027985572815
4,22,0.326219379901886,0.42566120624542236
4,23,0.23468752205371857,0.4816771149635315
4,24,0.25772812962532043,0.4802376329898834
4,25,0.20880527794361115,0.5351577997207642
4,26,0.288518488407135,0.5226718187332153
4,27,0.18462032079696655,0.5887731909751892
